ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202604;MARMELOPOLIS;MG;SUL;SAO LOURENCO;INTERIOR;Feminino;00 - 18 ANOS;4
202607;BIAS FORTES;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;19 - 23 ANOS;4
202603;CAXAMBU;MG;SUL;SAO LOURENCO;INTERIOR;Feminino;29 - 33 ANOS;14
202608;SAO SEBASTIAO DA VARGEM ALEGRE;MG;SUDESTE;MURIAE;INTERIOR;Masculino;24 - 28 ANOS;6
202608;ALPINOPOLIS;MG;SUL;PASSOS;INTERIOR;Masculino;44 - 48 ANOS;25
202604;OLARIA;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;39 - 43 ANOS;1
202608;PINTOPOLIS;MG;NORTE;SAO FRANCISCO;INTERIOR;Masculino;34 - 38 ANOS;8
202601;SANTO ANTONIO DO MONTE;MG;OESTE;LAGOA DA PRATA;INTERIOR;Masculino;34 - 38 ANOS;11
202603;MERCES;MG;SUDESTE;UBA;INTERIOR;Feminino;39 - 43 ANOS;6
202607;FRANCA;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;29 - 33 ANOS;1
202608;FARIA LEMOS;MG;SUDESTE;CARANGOLA;INTERIOR;Feminino;39 - 43 ANOS;4
202608;NOVO CRUZEIRO;MG;NORDESTE;NOVO CRUZEIRO;INTERIOR;Feminino;44 - 48 ANOS;65
202602;SANTA HELENA DE MINAS;MG;NORDESTE;AGUAS FORMOSAS;INTERIOR;Feminino;44 - 48 ANOS;8
202601;FORMOSA;GO;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;00 - 18 ANOS;1
202601;ITAU DE MINAS;MG;SUL;PASSOS;INTERIOR;Masculino;00 - 18 ANOS;21
202602;CRUZEIRO DA FORTALEZA;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Feminino;59+ ANOS;33
202606;MARLIERIA;MG;LESTE;CORONEL FABRICIANO;INTERIOR;Feminino;34 - 38 ANOS;4
202601;PRADOS;MG;CENTRO SUL;SAO JOAO DEL REI;INTERIOR;Feminino;34 - 38 ANOS;5
202605;ALMENARA;MG;NORDESTE;ALMENARA;INTERIOR;Feminino;54 - 58 ANOS;104
202604;MACHACALIS;MG;NORDESTE;AGUAS FORMOSAS;INTERIOR;Masculino;34 - 38 ANOS;10
202605;MORRO DA GARCA;MG;CENTRO;CURVELO;INTERIOR;Feminino;49 - 53 ANOS;1
202608;MINAS NOVAS;MG;NORDESTE;MINAS NOVAS;INTERIOR;Feminino;54 - 58 ANOS;62
202607;NOVO HORIZONTE;SC;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;00 - 18 ANOS;1
202605;SANTA RITA DO SAPUCAI;MG;SUL;POUSO ALEGRE;INTERIOR;Masculino;39 - 43 ANOS;14
202604;DORES DO INDAIA;MG;OESTE;BOM DESPACHO;INTERIOR;Feminino;49 - 53 ANOS;9
202606;BELMIRO BRAGA;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;59+ ANOS;31
202607;PRATA;MG;TRIANGULO DO NORTE;UBERLANDIA;INTERIOR;Masculino;24 - 28 ANOS;19
202605;SABINOPOLIS;MG;CENTRO;GUANHAES;INTERIOR;Masculino;59+ ANOS;129
202608;OLHOS D AGUA;MG;NORTE;BOCAIUVA;INTERIOR;Feminino;54 - 58 ANOS;7
202607;FRANCISCO SA;MG;NORTE;MONTES CLAROS;INTERIOR;Feminino;44 - 48 ANOS;40
202608;PIRANGUINHO;MG;SUL;ITAJUBA;INTERIOR;Masculino;34 - 38 ANOS;6
202603;BRUMADO;BA;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;59+ ANOS;1
202606;DONA EUZEBIA;MG;SUDESTE;CATAGUASES;INTERIOR;Feminino;24 - 28 ANOS;6
202607;ARAPUA;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Feminino;39 - 43 ANOS;1
