ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202512;SAO JOSE DA SAFIRA;MG;LESTE;PECANHA;INTERIOR;Masculino;34 - 38 ANOS;4
202512;IPATINGA;MG;LESTE;IPATINGA;INTERIOR;Feminino;34 - 38 ANOS;132
202512;MEDEIROS;MG;OESTE;FORMIGA;INTERIOR;Feminino;34 - 38 ANOS;1
202512;MATEUS LEME;MG;CENTRO;BETIM;RMBH;Masculino;39 - 43 ANOS;9
202512;TUPACIGUARA;MG;TRIANGULO DO NORTE;ARAGUARI;INTERIOR;Feminino;49 - 53 ANOS;46
202512;VOLTA GRANDE;MG;SUDESTE;CATAGUASES;INTERIOR;Feminino;24 - 28 ANOS;6
202512;JOANESIA;MG;LESTE;IPATINGA;INTERIOR;Masculino;00 - 18 ANOS;21
202512;SANTA MARIA DE ITABIRA;MG;CENTRO;ITABIRA;INTERIOR;Feminino;54 - 58 ANOS;17
202512;IGUATAMA;MG;OESTE;FORMIGA;INTERIOR;Masculino;24 - 28 ANOS;5
202512;ILICINEA;MG;SUL;BOA ESPERANCA;INTERIOR;Feminino;49 - 53 ANOS;15
202512;AGUA BOA;MG;LESTE;SANTA MARIA DO SUACUI;INTERIOR;Feminino;34 - 38 ANOS;32
202512;JENIPAPO DE MINAS;MG;NORDESTE;ARACUAI;INTERIOR;Feminino;34 - 38 ANOS;11
202512;SALTO DA DIVISA;MG;NORDESTE;ALMENARA;INTERIOR;Masculino;00 - 18 ANOS;12
202512;SAO FRANCISCO;PB;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;19 - 23 ANOS;3
202512;CAPINOPOLIS;MG;TRIANGULO DO NORTE;ITUIUTABA;INTERIOR;Feminino;29 - 33 ANOS;21
202512;JECEABA;MG;CENTRO SUL;CONSELHEIRO LAFAIETE;INTERIOR;Feminino;49 - 53 ANOS;5
202512;CORONEL MURTA;MG;NORDESTE;ARACUAI;INTERIOR;Feminino;19 - 23 ANOS;18
202512;ARCOS;MG;OESTE;FORMIGA;INTERIOR;Masculino;39 - 43 ANOS;21
202512;SUMIDOURO;RJ;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;24 - 28 ANOS;1
202512;RIBEIRAO DAS NEVES;MG;CENTRO;BELO HORIZONTE;RMBH;Masculino;44 - 48 ANOS;415
202512;DESCOBERTO;MG;SUDESTE;CATAGUASES;INTERIOR;Feminino;00 - 18 ANOS;8
202512;ITAMARATI DE MINAS;MG;SUDESTE;CATAGUASES;INTERIOR;Masculino;00 - 18 ANOS;4
202512;PERIQUITO;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Masculino;00 - 18 ANOS;5
202512;UBAPORANGA;MG;LESTE;CARATINGA;INTERIOR;Masculino;24 - 28 ANOS;12
202512;SAO GONCALO DO RIO ABAIXO;MG;CENTRO;ITABIRA;INTERIOR;Masculino;49 - 53 ANOS;1
202512;BONITO DE MINAS;MG;NORTE;JANUARIA;INTERIOR;Feminino;39 - 43 ANOS;20
202512;ITAMONTE;MG;SUL;SAO LOURENCO;INTERIOR;Feminino;39 - 43 ANOS;10
202512;TOCOS DO MOJI;MG;SUL;POUSO ALEGRE;INTERIOR;Feminino;44 - 48 ANOS;6
202512;ITUIUTABA;MG;TRIANGULO DO NORTE;ITUIUTABA;INTERIOR;Masculino;49 - 53 ANOS;76
202512;LUISLANDIA;MG;NORTE;BRASILIA DE MINAS;INTERIOR;Masculino;39 - 43 ANOS;4
202512;UNAI;MG;NOROESTE;UNAI;INTERIOR;Feminino;59+ ANOS;518
202512;TOCOS DO MOJI;MG;SUL;POUSO ALEGRE;INTERIOR;Masculino;59+ ANOS;12
202512;BURITIZEIRO;MG;NORTE;PIRAPORA;INTERIOR;Masculino;39 - 43 ANOS;13
202512;IJACI;MG;SUL;LAVRAS;INTERIOR;Masculino;39 - 43 ANOS;1
202512;SAO PEDRO DOS FERROS;MG;LESTE DO SUL;RAUL SOARES;INTERIOR;Feminino;29 - 33 ANOS;24
202512;PATOS DE MINAS;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Feminino;19 - 23 ANOS;170
202512;INDIANOPOLIS;MG;TRIANGULO DO NORTE;UBERLANDIA;INTERIOR;Masculino;59+ ANOS;25
202512;PITANGUI;MG;OESTE;PARA DE MINAS;INTERIOR;Feminino;34 - 38 ANOS;22
202512;PRESIDENTE KUBITSCHEK;MG;NORDESTE;SERRO;INTERIOR;Masculino;59+ ANOS;14
202512;RIACHO DOS MACHADOS;MG;NORTE;JANAUBA;INTERIOR;Feminino;59+ ANOS;53
202512;UBERLANDIA;MG;TRIANGULO DO NORTE;UBERLANDIA;INTERIOR;Masculino;00 - 18 ANOS;938
202512;SAO GOTARDO;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Feminino;29 - 33 ANOS;36
